ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
459118,Male,No,19,No,Healthcare,,Low,8.0,Cat_6,B
459119,Male,Yes,57,Yes,Executive,8.0,High,3.0,Cat_6,C
459120,Male,No,19,No,Healthcare,5.0,Low,5.0,Cat_2,B
459121,Female,Yes,51,Yes,Artist,3.0,Average,6.0,Cat_6,B
459123,Female,Yes,86,No,Artist,1.0,High,2.0,Cat_6,D
459130,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,A
459132,Male,No,23,No,Entertainment,6.0,Low,2.0,Cat_6,D
459136,Male,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,A
459140,Female,No,19,No,Healthcare,7.0,Low,6.0,Cat_6,D
459143,Male,Yes,50,No,Artist,0.0,High,4.0,Cat_6,D
459144,Male,Yes,80,Yes,Lawyer,,High,2.0,Cat_6,A
459145,Male,Yes,78,No,Lawyer,,Low,1.0,Cat_2,D
459150,Female,No,48,Yes,Doctor,0.0,Low,1.0,Cat_6,B
459160,Male,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,C
459161,Male,Yes,50,Yes,Executive,3.0,High,5.0,Cat_6,D
459162,Female,Yes,83,Yes,Lawyer,0.0,High,2.0,Cat_6,A
459163,Male,No,35,Yes,Entertainment,0.0,Low,1.0,Cat_6,B
459167,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_5,A
459170,Female,No,35,Yes,Artist,1.0,Low,1.0,Cat_6,B
459171,Male,Yes,35,Yes,Artist,0.0,Average,2.0,Cat_6,B
459172,Male,No,18,No,Healthcare,3.0,Low,3.0,Cat_2,A
459175,Female,Yes,73,Yes,Artist,1.0,Average,2.0,Cat_6,A
459181,Male,Yes,62,No,Artist,1.0,High,3.0,Cat_6,A
459182,Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_6,C
459184,Male,Yes,43,Yes,Entertainment,0.0,Low,4.0,Cat_4,D
459185,Female,No,32,Yes,Entertainment,7.0,Low,1.0,Cat_6,C
459193,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,D
459194,Female,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,D
459196,Female,No,18,No,Healthcare,0.0,Low,3.0,Cat_4,D
459208,Female,Yes,57,Yes,Artist,0.0,High,2.0,Cat_3,C
459209,Female,No,18,No,Entertainment,0.0,Low,4.0,Cat_6,D
459210,Female,Yes,71,Yes,Artist,1.0,High,2.0,Cat_6,C
459212,Female,Yes,69,Yes,Artist,0.0,Average,2.0,Cat_6,A
459213,Female,No,42,Yes,Healthcare,0.0,Low,4.0,Cat_6,A
459216,Female,No,36,Yes,Artist,0.0,Low,2.0,Cat_6,A
459220,Female,Yes,80,Yes,Lawyer,1.0,High,2.0,Cat_6,A
459221,Male,Yes,69,No,Entertainment,,Low,1.0,Cat_6,C
459222,Female,Yes,67,Yes,Artist,0.0,Average,3.0,Cat_6,A
459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6,D
459224,Female,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_6,C
459227,Female,Yes,32,No,Engineer,9.0,Low,4.0,Cat_6,A
459229,Female,Yes,65,Yes,Lawyer,1.0,Average,4.0,Cat_6,A
459236,Female,Yes,78,No,Lawyer,0.0,High,2.0,Cat_6,A
459237,Male,No,33,Yes,Artist,1.0,Low,6.0,Cat_6,B
459244,Male,Yes,48,Yes,Artist,1.0,Low,1.0,Cat_6,B
459247,Male,Yes,58,Yes,Executive,1.0,Average,5.0,Cat_6,D
459258,Female,Yes,83,Yes,Lawyer,1.0,High,,Cat_6,A
459263,Female,No,30,No,Healthcare,9.0,Low,4.0,Cat_6,A
459264,Female,No,35,Yes,Artist,0.0,Low,2.0,Cat_6,A
459266,Male,No,32,Yes,Healthcare,6.0,Low,5.0,Cat_6,B
459270,Male,Yes,69,Yes,Homemaker,1.0,High,2.0,Cat_6,C
459284,Female,Yes,71,Yes,Lawyer,1.0,High,2.0,Cat_6,D
459287,Male,No,43,Yes,Lawyer,0.0,Low,1.0,Cat_4,D
459288,Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,B
459289,Male,No,42,Yes,Doctor,0.0,Low,1.0,Cat_6,C
459290,Female,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,A
459292,Male,No,46,Yes,Artist,0.0,Low,2.0,Cat_6,D
459293,Male,No,21,No,Healthcare,,Low,,Cat_1,A
459296,Male,Yes,70,Yes,Artist,0.0,Average,2.0,Cat_6,D
459300,Female,Yes,61,Yes,Artist,1.0,Low,,Cat_6,B
459307,Male,Yes,60,Yes,Entertainment,1.0,Low,1.0,Cat_6,C
459310,Male,No,37,Yes,Entertainment,0.0,Low,2.0,Cat_2,A
459316,Male,Yes,30,Yes,Healthcare,1.0,Low,2.0,Cat_6,C
459318,Female,No,32,Yes,Engineer,1.0,Low,3.0,Cat_6,C
459320,Male,Yes,26,Yes,Executive,0.0,Low,3.0,Cat_6,C
459322,Male,No,42,Yes,Marketing,0.0,Low,1.0,Cat_6,D
459323,Female,No,18,No,Doctor,,Low,,Cat_6,D
459338,Male,Yes,80,No,Executive,,Low,,Cat_6,C
459339,Male,Yes,29,Yes,Healthcare,8.0,High,2.0,Cat_6,D
459344,Female,Yes,88,Yes,Artist,1.0,High,2.0,Cat_6,D
459347,Male,Yes,70,Yes,Lawyer,1.0,Low,1.0,Cat_6,C
459349,Female,Yes,50,Yes,Artist,1.0,High,4.0,Cat_6,B
459352,Male,Yes,43,Yes,Doctor,4.0,Average,4.0,Cat_3,B
459353,Male,Yes,51,Yes,Artist,6.0,Average,2.0,Cat_6,B
459354,Female,Yes,50,Yes,Artist,,High,3.0,Cat_6,C
459355,Female,Yes,74,No,Homemaker,,Low,1.0,Cat_6,C
459360,Female,No,29,Yes,Healthcare,,Low,3.0,Cat_6,C
459361,Female,No,32,Yes,Engineer,,Low,2.0,Cat_6,C
459362,Male,Yes,60,No,Executive,0.0,Low,2.0,Cat_6,C
459363,Male,No,46,Yes,Artist,2.0,Low,1.0,Cat_6,D
459364,Female,Yes,81,Yes,Marketing,0.0,Low,2.0,Cat_6,A
459369,Male,Yes,41,No,Engineer,,Average,7.0,Cat_4,B
459375,Male,Yes,22,No,Executive,0.0,High,4.0,Cat_6,B
459377,Male,Yes,37,Yes,Artist,0.0,Average,3.0,Cat_6,B
459383,Male,Yes,43,No,Engineer,0.0,Low,1.0,Cat_6,C
459384,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,A
459385,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_7,C
459386,Male,Yes,65,No,Lawyer,1.0,High,2.0,Cat_6,D
459391,Female,No,41,Yes,Engineer,0.0,Low,4.0,Cat_6,A
459394,Male,No,28,No,Entertainment,8.0,Low,2.0,Cat_6,D
459397,Male,Yes,55,Yes,Artist,4.0,Average,2.0,Cat_6,B
459398,Female,Yes,58,No,Lawyer,,High,2.0,Cat_6,C
459401,Male,No,28,No,Healthcare,1.0,Low,3.0,,D
459403,Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7,B
459405,Female,Yes,78,No,Doctor,1.0,High,2.0,Cat_6,A
459407,Female,No,35,Yes,Doctor,1.0,Low,3.0,Cat_6,A
459409,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,Cat_6,D
459410,Female,Yes,88,Yes,Lawyer,1.0,High,2.0,Cat_6,A
459412,Male,Yes,61,Yes,,1.0,Average,3.0,Cat_6,D
459413,Female,Yes,79,Yes,Artist,,High,2.0,Cat_6,A
459415,Male,No,30,No,Doctor,0.0,Low,4.0,Cat_6,D
459418,Male,Yes,69,No,Executive,0.0,High,2.0,Cat_6,C
459419,Male,Yes,65,Yes,Doctor,1.0,Average,2.0,Cat_6,C
459420,Female,Yes,70,Yes,Lawyer,1.0,Low,2.0,Cat_6,A
459421,Male,Yes,32,No,Healthcare,0.0,Average,4.0,Cat_6,C
459422,Male,Yes,46,Yes,Entertainment,,Low,4.0,Cat_6,B
459423,Male,No,21,No,Healthcare,8.0,Low,5.0,Cat_6,B
459424,Male,Yes,47,Yes,Doctor,,Low,3.0,Cat_6,B
459428,Female,No,39,No,Marketing,0.0,Low,2.0,Cat_4,D
459432,Male,Yes,85,Yes,Lawyer,0.0,Low,3.0,Cat_6,A
459436,Female,No,66,Yes,Artist,0.0,Low,2.0,Cat_6,A
459439,Female,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6,C
459445,Female,Yes,42,Yes,Artist,0.0,Average,3.0,Cat_6,C
459447,Male,Yes,53,Yes,Artist,9.0,Low,1.0,Cat_6,D
459449,Male,Yes,37,Yes,Artist,,Low,2.0,Cat_6,B
459451,Female,Yes,45,Yes,Artist,1.0,Low,2.0,Cat_6,C
459456,Female,No,66,No,Lawyer,,Low,1.0,Cat_6,D
459458,Male,No,33,No,Marketing,,Low,,Cat_6,B
459459,Male,Yes,40,Yes,Artist,4.0,Low,1.0,Cat_6,B
459461,Female,Yes,35,Yes,Artist,1.0,Low,1.0,Cat_1,A
459464,Male,No,27,Yes,Artist,,Low,2.0,Cat_6,D
459466,Female,Yes,48,Yes,Artist,0.0,Average,3.0,Cat_4,C
459467,Female,Yes,56,Yes,Artist,0.0,Average,2.0,Cat_6,C
459469,Male,Yes,25,Yes,Healthcare,,Low,6.0,Cat_6,D
459471,Female,No,30,No,Artist,,Low,8.0,Cat_6,D
459480,Female,Yes,46,Yes,Entertainment,7.0,Low,3.0,Cat_6,C
459481,Male,Yes,49,No,Lawyer,0.0,Low,2.0,Cat_6,C
459482,Male,Yes,72,No,Marketing,1.0,Low,4.0,Cat_6,D
459485,Female,Yes,79,Yes,Lawyer,,High,2.0,Cat_6,A
459496,Female,No,35,Yes,Artist,,Low,3.0,Cat_6,C
459497,Female,Yes,77,Yes,Lawyer,0.0,Low,1.0,Cat_6,A
459499,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,A
459503,Male,Yes,42,Yes,Healthcare,6.0,High,4.0,Cat_6,D
459505,Female,No,42,Yes,Engineer,,Low,1.0,Cat_6,B
459507,Male,Yes,67,No,Lawyer,,High,2.0,Cat_1,D
459509,Male,No,26,Yes,Healthcare,1.0,Low,1.0,Cat_6,D
459512,Male,Yes,67,Yes,Lawyer,1.0,High,2.0,Cat_6,A
459515,Male,Yes,55,Yes,Engineer,1.0,Low,1.0,Cat_6,C
459516,Female,,56,Yes,Artist,,Average,2.0,Cat_6,C
459518,Male,Yes,63,,,,Average,4.0,Cat_6,A
459535,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,B
459536,Male,Yes,32,Yes,Healthcare,7.0,Low,2.0,Cat_6,C
459538,Female,No,49,Yes,Homemaker,13.0,Low,1.0,Cat_6,D
459541,Male,Yes,59,Yes,Artist,1.0,High,2.0,Cat_6,C
459549,Male,No,22,No,Healthcare,8.0,Low,5.0,Cat_4,B
459555,Female,No,28,Yes,Artist,8.0,Low,1.0,Cat_6,D
459558,Male,No,28,Yes,Entertainment,1.0,Low,3.0,Cat_6,D
459564,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,C
459566,Female,Yes,37,Yes,Artist,13.0,Low,2.0,Cat_6,B
459567,Male,Yes,50,Yes,Doctor,0.0,Average,2.0,Cat_6,A
459571,Female,Yes,50,Yes,Executive,1.0,High,4.0,Cat_6,D
459576,Female,Yes,88,No,Lawyer,,Low,,,B
459579,Female,Yes,35,Yes,Artist,3.0,Average,5.0,Cat_4,B
459581,Female,No,35,No,,,Low,,Cat_7,C
459582,Male,Yes,31,No,Entertainment,,Average,3.0,Cat_6,D
459583,Male,Yes,46,Yes,Artist,0.0,Low,1.0,Cat_6,A
459585,Female,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,D
459587,Female,No,33,Yes,Artist,7.0,Low,3.0,Cat_6,D
459588,Male,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_6,A
459591,Male,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6,A
459592,Male,No,25,No,Healthcare,0.0,Low,3.0,Cat_6,D
459594,Female,Yes,41,Yes,Artist,6.0,Low,1.0,Cat_6,C
459597,Female,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,B
459603,Female,Yes,79,No,Lawyer,2.0,High,2.0,Cat_6,A
459607,Male,Yes,40,Yes,Entertainment,5.0,Average,5.0,Cat_6,B
459608,Female,No,62,Yes,Doctor,,Low,1.0,Cat_6,D
459612,Male,No,21,No,Healthcare,,Low,2.0,Cat_6,D
459616,Female,No,20,No,Healthcare,,Low,4.0,Cat_1,D
459617,Male,No,28,Yes,Entertainment,1.0,Low,5.0,Cat_6,B
459618,Male,Yes,57,Yes,Doctor,0.0,Average,2.0,Cat_4,C
459621,Female,No,25,No,Healthcare,8.0,Low,,,A
459625,Female,Yes,63,No,Engineer,8.0,Low,1.0,Cat_6,C
459626,Female,Yes,26,No,Entertainment,1.0,Low,3.0,Cat_6,C
459632,Female,Yes,50,No,Marketing,0.0,High,3.0,Cat_4,D
459644,Female,No,30,No,Marketing,9.0,Low,4.0,Cat_2,D
459652,Female,No,26,No,Engineer,,Low,4.0,Cat_4,A
459658,Male,Yes,61,Yes,Artist,1.0,Average,3.0,Cat_6,A
459664,Male,No,42,Yes,Artist,3.0,Low,1.0,Cat_6,D
459665,Male,Yes,88,Yes,Artist,4.0,Low,2.0,Cat_6,D
459672,Male,Yes,45,No,Artist,3.0,Average,3.0,Cat_6,A
459673,Female,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6,D
459678,Male,No,18,No,Healthcare,1.0,Low,5.0,Cat_6,B
459680,Male,No,37,Yes,Entertainment,,Low,1.0,Cat_6,C
459686,Male,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_6,B
459691,Male,Yes,58,No,Artist,,Average,2.0,Cat_6,A
459692,Female,Yes,72,Yes,Lawyer,8.0,High,2.0,Cat_6,A
459693,Female,Yes,50,Yes,Artist,0.0,High,3.0,,B
459699,Female,,56,Yes,Engineer,8.0,Average,3.0,Cat_6,C
459701,Male,No,46,No,Artist,3.0,Low,3.0,Cat_5,D
459710,Male,Yes,57,Yes,Artist,,Low,1.0,Cat_6,C
459711,Male,Yes,42,No,Executive,9.0,High,6.0,Cat_6,A
459712,Male,No,20,No,Healthcare,,Low,4.0,Cat_6,D
459713,Male,No,19,No,Healthcare,,Low,3.0,Cat_6,D
459715,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_6,B
459718,Male,Yes,68,Yes,Executive,1.0,Low,1.0,Cat_6,C
459725,Female,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,C
459727,Male,Yes,82,No,Lawyer,,High,2.0,Cat_6,D
459740,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
459742,Female,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,A
459745,Male,Yes,51,No,Artist,0.0,Low,4.0,Cat_1,C
459746,Male,,59,Yes,Artist,1.0,Average,2.0,Cat_6,A
459747,Female,Yes,41,Yes,Artist,1.0,Average,5.0,Cat_6,B
459748,Male,Yes,51,No,Executive,1.0,High,2.0,Cat_6,C
459755,Female,Yes,62,No,Artist,,Average,3.0,Cat_6,A
459756,Female,Yes,62,No,Lawyer,1.0,High,4.0,Cat_4,A
459760,Female,Yes,38,Yes,Artist,8.0,Low,1.0,Cat_6,C
459763,Male,No,18,No,Artist,,Low,4.0,Cat_4,D
459767,Male,No,22,No,Healthcare,3.0,Low,4.0,Cat_6,D
459771,Female,,30,Yes,Doctor,0.0,Low,3.0,Cat_3,A
459779,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,Cat_6,C
459780,Female,No,43,No,Entertainment,1.0,Low,3.0,Cat_6,A
459785,Female,No,32,Yes,Engineer,,Low,1.0,Cat_3,D
459793,Male,Yes,37,Yes,Artist,1.0,High,,Cat_6,B
459795,Male,No,48,Yes,Artist,1.0,Low,1.0,Cat_6,D
459801,Female,No,31,Yes,Engineer,4.0,Low,2.0,Cat_6,C
459804,Male,Yes,46,No,Artist,4.0,High,4.0,Cat_6,A
459806,Female,Yes,49,No,Engineer,1.0,Average,4.0,Cat_6,D
459808,Male,Yes,43,No,Doctor,,Average,4.0,Cat_6,D
459815,Male,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,D
459816,Male,Yes,37,Yes,Doctor,,Low,2.0,Cat_6,B
459819,Male,Yes,72,Yes,Entertainment,,High,2.0,Cat_6,C
459821,Male,,71,No,Executive,,High,1.0,,C
459822,Female,No,39,Yes,Engineer,1.0,Low,1.0,Cat_4,D
459825,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_2,A
459827,Female,No,26,No,,,Low,1.0,Cat_7,D
459832,Male,Yes,72,Yes,Executive,1.0,Low,1.0,Cat_6,C
459845,Male,Yes,70,Yes,Healthcare,0.0,Low,1.0,Cat_4,C
459851,Male,No,45,Yes,Artist,2.0,Low,1.0,Cat_6,D
459853,Male,No,33,No,Executive,7.0,Low,5.0,Cat_6,D
459856,Male,Yes,50,No,Entertainment,0.0,Average,3.0,Cat_6,D
459857,Male,No,31,Yes,Entertainment,6.0,Low,1.0,Cat_6,C
459861,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,A
459864,Female,Yes,68,No,Artist,,High,2.0,Cat_6,A
459866,Female,No,49,Yes,Artist,,Low,1.0,Cat_6,D
459867,Male,Yes,49,Yes,Marketing,0.0,High,2.0,Cat_6,D
459869,Female,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,D
459871,Female,Yes,85,No,Entertainment,2.0,Average,2.0,Cat_6,A
459885,Female,No,38,Yes,Entertainment,,Low,4.0,Cat_6,A
459886,Male,Yes,28,No,Artist,0.0,Low,4.0,Cat_6,B
459887,Male,Yes,46,No,Artist,3.0,Average,2.0,,A
459889,Male,Yes,59,Yes,Homemaker,9.0,Average,3.0,Cat_6,A
459897,Female,Yes,56,Yes,Artist,0.0,Low,2.0,Cat_6,C
459909,Male,Yes,69,Yes,Artist,0.0,Low,1.0,Cat_6,C
459910,Male,Yes,66,Yes,Artist,0.0,Low,2.0,Cat_6,C
459911,Male,No,18,No,Healthcare,4.0,Low,6.0,Cat_2,B
459914,Male,No,36,Yes,Artist,4.0,Low,1.0,Cat_4,C
459923,Male,No,31,Yes,Marketing,1.0,Low,2.0,Cat_3,D
459925,Male,Yes,67,No,Executive,1.0,High,2.0,Cat_4,C
459937,Female,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,D
459943,Male,No,42,Yes,Entertainment,4.0,Low,3.0,Cat_6,C
459945,Male,Yes,50,Yes,Artist,0.0,Low,2.0,Cat_6,A
459946,Female,Yes,37,Yes,Artist,0.0,Average,2.0,Cat_6,C
459949,Female,No,59,Yes,Artist,0.0,Low,1.0,Cat_6,B
459953,Male,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6,B
459961,Male,Yes,48,Yes,Artist,8.0,Low,3.0,Cat_2,D
459962,Male,Yes,55,Yes,Artist,9.0,Low,1.0,Cat_6,D
459966,Female,No,33,Yes,Doctor,1.0,Low,3.0,Cat_6,C
459968,Male,No,38,Yes,Artist,13.0,Low,1.0,Cat_7,D
459970,Male,No,43,Yes,Artist,0.0,Low,2.0,Cat_6,D
459973,Female,No,53,Yes,Artist,0.0,Low,2.0,Cat_6,A
459974,Male,No,37,Yes,Entertainment,0.0,Low,1.0,Cat_6,B
459975,Female,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,C
459981,Male,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,D
459986,Male,Yes,62,Yes,Artist,1.0,Low,1.0,Cat_6,C
459995,Female,No,38,No,Artist,2.0,Low,2.0,Cat_6,D
459996,Male,No,55,Yes,Entertainment,1.0,Low,1.0,Cat_6,C
459998,Male,Yes,60,No,Entertainment,1.0,Average,2.0,Cat_6,A
460004,Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,Cat_5,C
460006,Male,No,30,No,Entertainment,5.0,Low,9.0,Cat_3,C
460014,Female,No,66,No,Entertainment,4.0,Low,3.0,Cat_6,A
460023,Male,Yes,45,Yes,Entertainment,1.0,Low,1.0,Cat_6,C
460027,Female,No,40,Yes,Entertainment,6.0,Low,,Cat_6,C
460033,Female,,45,Yes,Entertainment,5.0,Low,3.0,Cat_6,C
460036,Male,Yes,41,Yes,,2.0,Low,1.0,Cat_6,B
460040,Female,Yes,62,Yes,Homemaker,4.0,Low,1.0,Cat_5,C
460045,Male,Yes,61,Yes,Artist,1.0,Low,2.0,Cat_6,D
460046,Female,Yes,50,Yes,Artist,4.0,Low,2.0,Cat_6,C
460050,Male,Yes,53,Yes,Entertainment,3.0,Low,2.0,Cat_6,C
460051,Male,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,D
460052,Female,No,86,Yes,Lawyer,0.0,Low,1.0,Cat_3,D
460058,Male,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_4,D
460059,Female,No,46,No,Entertainment,4.0,Low,,Cat_4,A
460061,Male,No,52,Yes,Marketing,0.0,Low,1.0,Cat_3,D
460066,Female,No,45,No,Marketing,0.0,Low,1.0,Cat_6,D
460068,Female,No,37,Yes,Artist,9.0,Low,1.0,Cat_6,D
460073,Female,Yes,36,Yes,Engineer,3.0,Low,1.0,Cat_6,C
460075,Female,No,25,Yes,Artist,,Low,1.0,Cat_6,C
460079,Female,No,40,No,Doctor,1.0,Low,1.0,Cat_6,C
460081,Male,Yes,41,Yes,Artist,11.0,High,2.0,Cat_6,B
460088,Female,Yes,25,Yes,Homemaker,,High,2.0,Cat_6,D
460090,Male,Yes,80,No,Lawyer,4.0,Average,2.0,Cat_6,A
460093,Female,No,46,Yes,Artist,3.0,Low,1.0,Cat_3,A
460095,Female,Yes,81,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
460097,Male,,40,Yes,Artist,0.0,Low,2.0,Cat_3,D
460099,Male,No,49,Yes,,1.0,Low,1.0,Cat_3,A
460101,Female,No,26,Yes,Healthcare,8.0,Low,3.0,Cat_3,D
460103,Male,No,26,Yes,Artist,1.0,Low,1.0,Cat_4,D
460105,Female,No,47,Yes,Artist,0.0,Low,1.0,Cat_4,A
460106,Female,Yes,71,Yes,Entertainment,0.0,Low,,Cat_6,B
460107,Male,Yes,48,Yes,Engineer,1.0,Average,5.0,Cat_6,B
460108,Male,Yes,39,Yes,Artist,1.0,Average,3.0,Cat_2,C
460109,Male,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,B
460110,Female,No,46,Yes,Artist,1.0,Low,2.0,,A
460112,Male,Yes,26,Yes,Engineer,8.0,Average,2.0,Cat_3,A
460116,Female,Yes,42,Yes,,1.0,Low,2.0,Cat_6,C
460118,Female,Yes,36,Yes,Artist,4.0,Low,2.0,Cat_6,C
460119,Male,No,29,Yes,Healthcare,1.0,Low,4.0,Cat_6,B
460122,Female,No,39,No,Artist,1.0,Low,1.0,Cat_6,C
460124,Female,No,41,Yes,Artist,0.0,Low,3.0,Cat_6,A
460126,Female,Yes,48,Yes,Marketing,8.0,Low,,Cat_6,C
460134,Male,Yes,40,Yes,Entertainment,9.0,High,3.0,Cat_6,B
460135,Female,No,25,Yes,Healthcare,4.0,Low,3.0,Cat_6,D
460140,Female,Yes,41,Yes,Artist,7.0,Low,2.0,Cat_6,C
460141,Male,No,37,Yes,Artist,11.0,Low,1.0,Cat_6,D
460144,Female,No,53,Yes,Doctor,0.0,Low,,Cat_3,A
460146,Female,Yes,51,Yes,Engineer,0.0,Average,3.0,Cat_3,C
460147,Male,Yes,73,Yes,Entertainment,1.0,Average,3.0,Cat_6,A
460157,Male,Yes,61,No,,1.0,Low,5.0,Cat_4,D
460160,Male,No,39,Yes,Entertainment,5.0,Low,1.0,Cat_3,B
460162,Female,No,19,No,Healthcare,0.0,Low,4.0,Cat_2,D
460166,Female,No,19,No,Healthcare,0.0,Low,7.0,Cat_2,A
460167,Female,No,23,No,Entertainment,1.0,Low,5.0,Cat_2,A
460168,Male,Yes,83,Yes,Executive,0.0,High,2.0,Cat_2,C
460171,Female,Yes,62,Yes,Artist,1.0,High,2.0,Cat_6,C
460174,Female,No,43,Yes,Artist,9.0,Low,4.0,Cat_6,D
460175,Female,No,27,No,Artist,0.0,Low,5.0,Cat_2,D
460177,Male,No,50,Yes,Artist,0.0,Low,1.0,Cat_6,D
460179,Female,No,23,No,Entertainment,0.0,Low,6.0,Cat_2,A
460183,Male,No,35,No,Entertainment,9.0,Low,2.0,Cat_6,D
460185,Male,No,32,No,Healthcare,9.0,Low,3.0,Cat_6,D
460187,Female,No,42,Yes,Doctor,2.0,Low,3.0,Cat_6,A
